t,lead_I
7512.4,-173.60120661190635
7514.4,-137.4583494690492
7516.4,-125.88692089762064
7518.4,-126.7440637547635
7520.4,-107.17263518333493
7522.4,-61.88692089762064
7524.4,-29.31549232619207
7526.4,-43.02977804047779
7528.4,-87.31549232619207
7530.4,-118.0297780404778
7532.4,-115.88692089762064
7534.4,-107.45834946904922
7536.4,-134.7440637547635
7538.4,-203.31549232619207
7540.4,-268.17263518333493
7542.3,-291.02977804047777
7544.3,-295.02977804047777
7546.3,-330.88692089762066
7548.3,-397.8869208976206
7550.3,-441.02977804047777
7552.3,-428.7440637547635
7554.3,-396.1726351833349
7556.3,-395.17263518333493
7558.3,-429.45834946904915
7560.3,-458.1726351833349
7562.3,-452.17263518333493
7564.3,-426.0297780404777
7566.3,-414.1726351833348
7568.3,-427.4583494690491
7570.3,-439.7440637547635
7572.3,-419.31549232619204
7574.3,-369.1726351833349
7576.3,-325.31549232619204
7578.3,-314.31549232619204
7580.3,-324.7440637547635
7582.3,-325.6012066119063
7584.3,-307.02977804047777
7586.3,-292.0297780404778
7588.3,-309.88692089762066
7590.3,-362.8869208976206
7592.3,-422.6012066119063
7594.3,-458.02977804047777
7596.3,-470.7440637547635
7598.3,-491.4583494690492
7600.3,-533.315492326192
7602.3,-556.315492326192
7604.3,-500.6012066119064
7606.3,-352.45834946904927
7608.3,-152.88692089762066
7610.3,67.82736481666505
7612.3,338.5416505309508
7614.28,702.9702219595222
7616.25,1136.827364816665
7618.23,1545.970221959522
7620.2,1857.9702219595222
7622.2,2077.1130791023793
7624.2,2221.2559362452366
7626.2,2249.255936245236
7628.2,2097.827364816665
7630.2,1765.3987933880935
7632.2,1317.5416505309508
7634.2,830.5416505309506
7636.2,356.9702219595222
7638.2,-70.02977804047777
7640.2,-425.31549232619204
7642.2,-682.6012066119063
7644.2,-817.6012066119063
7646.2,-827.315492326192
7648.2,-747.315492326192
7650.2,-639.7440637547635
7652.2,-549.315492326192
7654.2,-473.8869208976206
7656.2,-389.7440637547635
7658.2,-299.6012066119063
7660.2,-237.60120661190632
7662.2,-230.02977804047777
7664.2,-262.8869208976206
7666.2,-292.0297780404777
7668.2,-287.4583494690492
7670.2,-270.02977804047777
7672.2,-285.6012066119064
7674.2,-334.6012066119064
7676.2,-360.6012066119064
7678.2,-328.6012066119064
7680.2,-278.17263518333493
7682.2,-266.7440637547635
7684.2,-289.6012066119063
7686.2,-294.6012066119064
7688.2,-257.4583494690492
7690.2,-207.31549232619207
7692.2,-180.4583494690492
7694.18,-177.17263518333493
7696.15,-173.02977804047777
7698.13,-156.0297780404778
7700.1,-138.0297780404778
7702.1,-136.4583494690492
7704.1,-155.88692089762066
7706.1,-186.02977804047777
7708.1,-208.17263518333493
7710.1,-205.4583494690492
7712.1,-178.45834946904924
7714.1,-150.45834946904924
7716.1,-143.60120661190635
7718.1,-149.1726351833349
7720.1,-137.88692089762063
7722.1,-102.60120661190636
7724.1,-73.31549232619207
7726.1,-82.0297780404778
7728.1,-119.17263518333493
7730.1,-136.3154923261921
7732.1,-107.02977804047778
7734.1,-74.7440637547635
7736.1,-95.60120661190635
7738.1,-142.7440637547635
7740.1,-140.7440637547635
7742.1,-88.17263518333492
7744.1,-57.31549232619207
7746.1,-74.0297780404778
7748.1,-92.60120661190636
7750.1,-86.17263518333493
7752.1,-76.88692089762064
7754.1,-78.45834946904921
7756.1,-76.88692089762066
7758.1,-68.0297780404778
7760.1,-64.7440637547635
7762.1,-62.31549232619207
7764.1,-36.45834946904921
7766.1,13.113079102379354
7768.1,57.39879338809364
7770.1,86.54165053095078
7772.1,119.82736481666504
7774.08,162.11307910237934
7776.05,200.54165053095076
7778.03,231.25593624523648
7780.0,247.9702219595222
7782.0,236.82736481666504
7784.0,215.25593624523648
7786.0,225.68450767380793
7788.0,270.2559362452365
7790.0,306.3987933880936
7792.0,318.54165053095073
7794.0,341.54165053095073
7796.0,401.9702219595222
7798.0,473.82736481666507
7800.0,508.6845076738079
7802.0,495.6845076738079
7804.0,475.3987933880936
7806.0,489.2559362452365
7808.0,527.5416505309507
7810.0,547.1130791023793
7812.0,533.9702219595222
7814.0,520.9702219595222
7816.0,539.684507673808
7818.0,581.3987933880936
7820.0,613.9702219595222
7822.0,617.5416505309508
7824.0,600.1130791023794
7826.0,589.6845076738078
7828.0,608.9702219595222
7830.0,648.2559362452364
7832.0,673.5416505309506
7834.0,669.827364816665
7836.0,666.2559362452364
7838.0,697.9702219595222
7840.0,753.9702219595222
7842.0,784.6845076738078
7844.0,767.9702219595221
7846.0,739.6845076738078
7848.0,745.8273648166651
7850.0,783.6845076738078
7852.0,813.3987933880935
7853.98,811.2559362452364
7855.95,794.5416505309508
7857.93,794.6845076738078
7859.9,816.5416505309507
7861.9,828.9702219595222
7863.9,804.5416505309507
7865.9,758.9702219595221
7867.9,733.3987933880935
7869.9,742.9702219595222
7871.9,764.9702219595222
7873.9,772.9702219595222
7875.9,762.9702219595222
7877.9,747.6845076738078
7879.9,739.8273648166651
7881.9,738.2559362452365
7883.9,723.3987933880936
7885.9,676.1130791023793
7887.9,607.9702219595221
7889.9,558.1130791023794
7891.9,549.5416505309507
7893.9,558.684507673808
7895.9,545.5416505309507
7897.9,509.82736481666507
7899.9,493.54165053095073
7901.9,518.2559362452365
7903.9,547.1130791023793
7905.9,527.3987933880936
7907.9,461.54165053095073
7909.9,406.97022195952206
7911.9,403.3987933880936
7913.9,421.11307910237934
7915.9,402.82736481666507
7917.9,342.68450767380784
7919.9,295.39879338809357
7921.9,299.1130791023793
7923.9,322.9702219595222
7925.9,314.5416505309508
7927.9,274.2559362452365
7929.9,250.39879338809362
7931.9,274.54165053095073
7933.88,324.2559362452365
7935.85,348.9702219595222
7937.83,324.3987933880936
7939.8,278.25593624523646
7941.8,255.54165053095076
7943.8,260.9702219595222
7945.8,256.6845076738079
7947.8,220.97022195952223
7949.8,178.97022195952223
7951.8,167.68450767380793
